 Subject: Death and Life Expectancy 
 Topic : Death and Life Expectancy 
" Title  : M810141 - Age-specific Death Rates, Annual "
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Per Thousand Residents
     40 - 44 Years , 4.3 , 3.8 , 3.3 , 3.5 , 3.1 , 3.2 , 2.6 , 2.8 , 3 , 2.7 , 2.5 , 3.1 , 2.5 , 2.7 , 2.3 , 2.7 , 1.9 , 2.2 , 2.2 , 2.1 , 1.8 , 1.9 , 1.6 , 1.8 , 1.5 , 1.4 , 1.7 , 1.7 , 1.4 , 1.6 , 1.4 , 1.4 , 1.3 , 1.3 , 1.1 , 1.2 , 1.1 , 1.1 , 1 , 1 , 1 , 0.9 , 0.8 , 0.8 , 1 , 0.9 , 0.9 , 0.9 , 0.9 , 0.7 , 0.7 , 0.8 , 0.7 , 0.7 , 0.7 , 0.6 , 0.8 , 0.5 , 0.5 ,
     45 - 49 Years , 4.9 , 5 , 5.5 , 4.4 , 4.8 , 4.7 , 3.9 , 4.7 , 4.3 , 3.9 , 4.4 , 4.1 , 4.2 , 3.8 , 4.5 , 3.8 , 3.6 , 3 , 3.5 , 3.5 , 3.1 , 3.4 , 3 , 2.8 , 3.3 , 2.6 , 2.5 , 2.7 , 2.6 , 2.4 , 2.4 , 1.9 , 2.2 , 1.9 , 2.1 , 2 , 1.8 , 1.8 , 1.7 , 1.9 , 1.7 , 1.5 , 1.5 , 1.5 , 1.5 , 1.4 , 1.4 , 1.4 , 1.2 , 1.3 , 1.2 , 1.3 , 1.3 , 1.1 , 1.2 , 1.1 , 1.1 , 1.1 , 1 ,
     50 - 54 Years , 9.3 , 8.4 , 8.9 , 8.7 , 8.4 , 7.4 , 7 , 7 , 7.1 , 6.3 , 6.6 , 6.8 , 7.4 , 5.9 , 6.4 , 6.4 , 6.6 , 6.7 , 5.9 , 5.9 , 5 , 6.5 , 5.5 , 5.1 , 5 , 4.9 , 4.7 , 5 , 4.8 , 4 , 4.2 , 3.7 , 3.9 , 3.9 , 3.7 , 3.5 , 3.4 , 3.2 , 3.2 , 2.6 , 2.8 , 2.6 , 2.8 , 2.7 , 2.5 , 2.5 , 2.4 , 2.1 , 2.3 , 2.2 , 1.9 , 2.1 , 2 , 2 , 1.9 , 1.9 , 1.8 , 2 , 1.8 ,
     55 - 59 Years , 11.9 , 12.8 , 12.5 , 12.4 , 12.7 , 12.7 , 11.3 , 11.6 , 12.6 , 11.1 , 10.9 , 11.5 , 10.7 , 11 , 10.3 , 9.9 , 9.2 , 10.7 , 9.8 , 9.2 , 10.3 , 9 , 8.5 , 8.4 , 7.8 , 7.8 , 7.5 , 7.7 , 7.4 , 6.7 , 7.4 , 6.6 , 6.4 , 6.7 , 6.6 , 6.2 , 5.5 , 5.3 , 5.1 , 4.8 , 4.3 , 4.6 , 4.2 , 3.9 , 4.5 , 3.8 , 4 , 3.7 , 3.6 , 3.3 , 3.3 , 2.9 , 3.3 , 3 , 3.2 , 3.1 , 3 , 3 , 2.7 ,
     60 - 64 Years , 22.1 , 22.9 , 21.6 , 21.1 , 20.1 , 17.5 , 18 , 17.3 , 17.4 , 18.3 , 17.3 , 18.2 , 18.5 , 18 , 16.6 , 14.8 , 15.3 , 17 , 15.7 , 16.2 , 14.9 , 14.7 , 13.4 , 13.5 , 13 , 14.2 , 12.7 , 12.8 , 12.1 , 12.3 , 10.9 , 11 , 10.6 , 10.2 , 10.6 , 9.8 , 9.4 , 9.3 , 9.6 , 8.2 , 8.1 , 7.2 , 7.6 , 7.1 , 6.7 , 7 , 6.4 , 5.8 , 5.7 , 5 , 5.3 , 5.2 , 5.1 , 5.1 , 4.4 , 4.5 , 4.3 , 4.5 , 4.4 ,
     65 - 69 Years , 31.2 , 28.3 , 27 , 26.6 , 29.7 , 30.6 , 31.8 , 28 , 31.1 , 28.4 , 28.2 , 28.1 , 28 , 28.2 , 26.5 , 26.5 , 26.9 , 29.2 , 27.9 , 26.3 , 25.1 , 23 , 23 , 22.9 , 21.3 , 22.3 , 20.3 , 20.1 , 20.4 , 19.5 , 18.6 , 18 , 17.8 , 17.5 , 17 , 16.7 , 16.5 , 16.3 , 15.9 , 15 , 15.1 , 12.9 , 12.9 , 12.5 , 12 , 10.8 , 10.2 , 9.7 , 9.8 , 9.7 , 8.8 , 9 , 8.7 , 7.8 , 7.5 , 7.1 , 7 , 7 , 6.6 ,
     70 - 74 Years , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , 38.9 , 38.4 , 36.4 , 37.2 , 33.4 , 37.8 , 32.4 , 33 , 33.2 , 33.5 , 31.3 , 31.7 , 28 , 29.7 , 31.7 , 30.4 , 28.9 , 26.3 , 24.8 , 23.2 , 22.7 , 22.7 , 22.8 , 20.1 , 19.1 , 18.9 , 17.5 , 20.5 , 18.7 , 15.8 , 15.1 , 14.7 , 14.5 , 14.2 , 13.5 , 13.2 , 11.5 , 11.6 , 11.3 ,
     75 Years & Over , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , 87.2 , 86.7 , 85.6 , 88.9 , 80.2 , 78.3 , 74.8 , 73.8 , 77.3 , 72.5 , 71.8 , 68.6 , 71.1 , 72.5 , 69.6 , 72.9 , 73.4 , 71.8 , 72.5 , 73 , 71.3 , 66.6 , 65.4 , 69.2 , 61.1 , 61.5 , 60.2 , 59.3 , 57.6 , 55.8 , 54.8 , 54.8 , 53.6 , 54.5 , 54.2 , 52.4 , 49.7 , 50.7 , 50.5 ,
     70 Years & Over , 76.7 , 76.1 , 78.1 , 81.1 , 76.6 , 82.6 , 82.6 , 82.7 , 84.7 , 79.1 , 74 , 71.7 , 71.7 , 70.5 , 72.7 , 66.6 , 71.7 , 70.4 , 68.5 , 70 , 64 , 63.4 , 61.7 , 64 , 58 , 59.6 , 55.8 , 56 , 58.7 , 56.3 , 55.2 , 53.7 , 54 , 55.6 , 54.7 , 56.3 , 55.8 , 53.4 , 52.8 , 51.9 , 50.4 , 47.9 , 47.7 , 48.9 , 44.2 , 44.3 , 43.3 , 44.4 , 42.9 , 40.5 , 39.7 , 39.2 , 38.2 , 39 , 39.1 , 38.9 , 36.9 , 36.8 , 35.7 ,
     75 - 79 Years , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , 61.3 , na , na , na , na , na , na , na , na , na , 47.8 , 46.1 , 48.1 , 50.6 , 47.1 , 47.7 , 47.8 , 45.8 , 44.4 , 44.1 , 42.2 , 38 , 37.5 , 41.1 , 33.1 , 33.4 , 34.5 , 32.7 , 31.6 , 30 , 27.1 , 29 , 26.3 , 26.3 , 25.9 , 24.4 , 23.5 , 22.2 , 22.3 ,
     80 - 84 Years , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , 94.9 , na , na , na , na , na , na , na , na , na , 78.6 , 71 , 72.9 , 69.2 , 71 , 68 , 71.9 , 73 , 71.1 , 68.7 , 67.5 , 64 , 63.9 , 65.6 , 62.1 , 59.6 , 55.3 , 55.6 , 52.5 , 48.5 , 50.2 , 48.4 , 46.4 , 47.2 , 46.6 , 43.4 , 43.7 , 45.4 , 43.2 ,
     85 Years & Over , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , 159.1 , na , na , na , na , na , na , na , na , na , 129.4 , 125.2 , 127 , 129.4 , 118.1 , 133.8 , 128.3 , 121.3 , 128.3 , 133.8 , 132.1 , 125.3 , 121.8 , 125.2 , 114.5 , 118.8 , 116.3 , 115.4 , 112.7 , 112.7 , 112.5 , 109.4 , 108.3 , 109.1 , 108.8 , 108.2 , 100 , 103.4 , 102.7 ,
 Total Age Specific Death Rate , 6.2 , 5.9 , 5.8 , 5.6 , 5.7 , 5.4 , 5.4 , 5.3 , 5.5 , 5 , 5.2 , 5.4 , 5.4 , 5.4 , 5.2 , 5.1 , 5.1 , 5.1 , 5.1 , 5.2 , 4.9 , 4.9 , 4.9 , 5 , 4.8 , 4.9 , 4.6 , 4.7 , 4.9 , 4.9 , 4.7 , 4.6 , 4.7 , 4.6 , 4.7 , 4.8 , 4.7 , 4.5 , 4.6 , 4.5 , 4.5 , 4.3 , 4.4 , 4.5 , 4.4 , 4.4 , 4.4 , 4.5 , 4.4 , 4.3 , 4.4 , 4.5 , 4.5 , 4.6 , 4.7 , 4.8 , 4.8 , 5 , 5 ,
     Under 1 Year , 34.9 , 32.3 , 31.2 , 28.1 , 29.9 , 26.3 , 25.8 , 24.8 , 23.4 , 20.9 , 20.5 , 20.1 , 19.2 , 20.3 , 16.8 , 13.9 , 11.6 , 12.4 , 12.6 , 13.2 , 8 , 8.2 , 9.6 , 8.8 , 7.3 , 7.6 , 6.1 , 5.5 , 5.5 , 6.3 , 6.6 , 5.4 , 4.8 , 4.7 , 4.1 , 3.8 , 3.6 , 3.6 , 4.1 , 3.3 , 2.5 , 2.2 , 2.9 , 2.5 , 2 , 2.1 , 2.6 , 2.1 , 2.1 , 2.2 , 2 , 2 , 1.8 , 2 , 1.8 , 1.7 , 2.4 , 2.2 , 2.1 ,
     1 - 4 Years , 3.3 , 2.7 , 2.5 , 2 , 1.9 , 1.9 , 2.1 , 1.5 , 1.7 , 1.3 , 1.4 , 1.1 , 1.1 , 1.1 , 1.1 , 0.9 , 0.7 , 0.7 , 0.7 , 0.7 , 0.6 , 0.6 , 0.5 , 0.6 , 0.6 , 0.3 , 0.4 , 0.4 , 0.4 , 0.4 , 0.3 , 0.3 , 0.3 , 0.3 , 0.3 , 0.3 , 0.3 , 0.2 , 0.3 , 0.2 , 0.3 , 0.3 , 0.2 , 0.2 , 0.2 , 0.2 , 0.1 , 0.1 , 0.2 , 0.2 , 0.1 , 0.2 , 0.2 , 0.2 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 ,
     5 - 9 Years , 1 , 0.9 , 0.8 , 0.7 , 0.7 , 0.6 , 0.6 , 0.6 , 0.5 , 0.5 , 0.5 , 0.5 , 0.4 , 0.6 , 0.5 , 0.3 , 0.4 , 0.4 , 0.3 , 0.3 , 0.2 , 0.3 , 0.3 , 0.3 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.3 , 0.2 , 0.2 , 0.2 , 0.2 , 0.1 , 0.2 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , - , - , 0.1 , - , 0.1 ,
     10 - 14 Years , 0.7 , 0.7 , 0.6 , 0.6 , 0.6 , 0.6 , 0.5 , 0.5 , 0.5 , 0.5 , 0.4 , 0.4 , 0.4 , 0.5 , 0.4 , 0.4 , 0.4 , 0.3 , 0.3 , 0.4 , 0.3 , 0.3 , 0.3 , 0.3 , 0.3 , 0.2 , 0.2 , 0.3 , 0.2 , 0.2 , 0.2 , 0.2 , 0.3 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.2 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , - , 0.1 , 0.1 , 0.1 , 0.1 ,
     15 - 19 Years , 0.9 , 1.2 , 0.8 , 0.8 , 0.8 , 0.7 , 0.7 , 0.6 , 0.7 , 0.8 , 0.8 , 0.9 , 0.9 , 0.8 , 0.6 , 0.5 , 0.6 , 0.7 , 0.7 , 0.7 , 0.6 , 0.6 , 0.6 , 0.6 , 0.6 , 0.6 , 0.5 , 0.4 , 0.4 , 0.5 , 0.3 , 0.4 , 0.4 , 0.4 , 0.4 , 0.4 , 0.4 , 0.3 , 0.3 , 0.3 , 0.3 , 0.4 , 0.3 , 0.3 , 0.3 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 ,
     20 - 24 Years , 1 , 1.2 , 1.2 , 1.2 , 1.1 , 1.3 , 1.4 , 1 , 1.1 , 1.1 , 1 , 1.1 , 1.1 , 1.1 , 1 , 1 , 0.9 , 0.8 , 1 , 0.8 , 0.9 , 0.7 , 0.8 , 0.8 , 0.8 , 0.6 , 0.7 , 0.6 , 0.7 , 0.6 , 0.6 , 0.6 , 0.6 , 0.5 , 0.5 , 0.5 , 0.5 , 0.6 , 0.4 , 0.5 , 0.5 , 0.5 , 0.5 , 0.6 , 0.5 , 0.4 , 0.4 , 0.4 , 0.4 , 0.4 , 0.3 , 0.3 , 0.3 , 0.3 , 0.3 , 0.2 , 0.2 , 0.2 , 0.3 ,
     25 - 29 Years , 1.2 , 1.3 , 1.2 , 1.2 , 1.3 , 1.2 , 1.2 , 1.1 , 1.2 , 1.3 , 1.2 , 1.2 , 1.1 , 1.2 , 1.1 , 1.1 , 1 , 1 , 1.1 , 1 , 0.9 , 0.9 , 0.8 , 0.7 , 0.8 , 0.8 , 0.7 , 0.7 , 0.6 , 0.7 , 0.6 , 0.6 , 0.6 , 0.5 , 0.5 , 0.4 , 0.6 , 0.5 , 0.5 , 0.4 , 0.4 , 0.4 , 0.4 , 0.4 , 0.3 , 0.4 , 0.4 , 0.4 , 0.4 , 0.3 , 0.3 , 0.3 , 0.3 , 0.3 , 0.2 , 0.3 , 0.3 , 0.3 , 0.3 ,
     30 - 34 Years , 1.9 , 1.6 , 1.8 , 1.8 , 1.7 , 1.6 , 1.7 , 1.5 , 1.4 , 1.2 , 1.3 , 1.3 , 1.3 , 1.3 , 1.4 , 1.5 , 1.2 , 1.1 , 1.4 , 1 , 1.1 , 0.9 , 1 , 1 , 0.8 , 1 , 0.9 , 0.8 , 0.8 , 0.8 , 0.8 , 0.7 , 0.7 , 0.6 , 0.6 , 0.7 , 0.6 , 0.6 , 0.6 , 0.6 , 0.6 , 0.6 , 0.5 , 0.5 , 0.5 , 0.5 , 0.5 , 0.4 , 0.4 , 0.4 , 0.3 , 0.4 , 0.4 , 0.4 , 0.4 , 0.4 , 0.3 , 0.4 , 0.4 ,
     35 - 39 Years , 3 , 2.7 , 2.7 , 2.6 , 2.6 , 2.6 , 2.4 , 2.1 , 2.2 , 2.2 , 2.2 , 2.2 , 1.9 , 1.9 , 1.9 , 1.9 , 1.9 , 1.8 , 1.7 , 1.6 , 1.3 , 1.4 , 1.3 , 1.3 , 1.4 , 1.4 , 1.1 , 1.3 , 1.4 , 1.1 , 1.2 , 1 , 1 , 0.9 , 1.1 , 1 , 1 , 0.9 , 0.9 , 0.8 , 1 , 0.8 , 0.9 , 0.7 , 0.7 , 0.8 , 0.7 , 0.6 , 0.7 , 0.6 , 0.6 , 0.5 , 0.6 , 0.5 , 0.5 , 0.5 , 0.5 , 0.5 , 0.5 ,
     40 - 44 Years , 4.9 , 4.5 , 4.2 , 4.2 , 4.3 , 3.9 , 3 , 3.9 , 3.9 , 3.6 , 3.4 , 3.8 , 3.3 , 3.6 , 3.1 , 3.4 , 2.9 , 2.9 , 2.8 , 2.9 , 2.3 , 2.2 , 2.1 , 2.2 , 2.1 , 1.9 , 2 , 1.9 , 1.9 , 2 , 1.8 , 1.7 , 1.7 , 1.7 , 1.6 , 1.5 , 1.5 , 1.5 , 1.4 , 1.3 , 1.4 , 1.3 , 1.2 , 1.2 , 1.3 , 1.2 , 1.3 , 1.2 , 1.2 , 0.9 , 1 , 0.9 , 0.9 , 0.9 , 0.9 , 0.9 , 0.9 , 0.8 , 0.7 ,
     45 - 49 Years , 6.9 , 6.8 , 7.1 , 6.1 , 6.4 , 6.1 , 5.9 , 6 , 6 , 5.4 , 5.9 , 5.9 , 5.9 , 5.5 , 5.7 , 5.7 , 5.2 , 4.8 , 5 , 4.7 , 4.5 , 4.5 , 4.1 , 3.7 , 4.3 , 3.6 , 3.2 , 3.4 , 3.2 , 3 , 3.2 , 2.7 , 3 , 2.7 , 2.6 , 2.8 , 2.5 , 2.2 , 2.3 , 2.2 , 2.2 , 2 , 2.1 , 2.1 , 2 , 1.9 , 1.9 , 1.9 , 1.8 , 1.6 , 1.7 , 1.7 , 1.6 , 1.5 , 1.5 , 1.5 , 1.4 , 1.4 , 1.4 ,
     50 - 54 Years , 12.8 , 12.2 , 12.1 , 11.8 , 12 , 10 , 10.1 , 10 , 10.2 , 9.4 , 9.7 , 10.2 , 10 , 9.3 , 9.5 , 9.2 , 8.9 , 9.3 , 8.3 , 8.7 , 7.4 , 8.3 , 7.4 , 7.4 , 7.1 , 6.6 , 6.5 , 6.5 , 6.4 , 5.9 , 5.5 , 5.2 , 5 , 5 , 4.8 , 4.6 , 4.7 , 4.2 , 4.1 , 3.7 , 3.5 , 3.7 , 3.5 , 3.5 , 3.3 , 3.5 , 3.2 , 3.1 , 3.2 , 3 , 3 , 2.8 , 2.5 , 2.7 , 2.5 , 2.5 , 2.4 , 2.6 , 2.3 ,
     55 - 59 Years , 18.6 , 17.8 , 18 , 19.2 , 18 , 18.2 , 17.5 , 16.7 , 18.1 , 15.4 , 15.8 , 15.7 , 15.2 , 15.6 , 14.7 , 14.8 , 14.5 , 14.9 , 13.8 , 14.3 , 12.8 , 12.8 , 12.4 , 11.9 , 11.9 , 11.9 , 10.9 , 10.9 , 10.5 , 10.4 , 9.7 , 9.5 , 8.6 , 8.6 , 8.5 , 8.4 , 7.6 , 7.2 , 7.1 , 6.5 , 6.1 , 6.4 , 6.3 , 5.8 , 5.8 , 5.7 , 5.3 , 5.1 , 5.1 , 4.7 , 4.5 , 4.4 , 4.6 , 4.3 , 4.5 , 4.2 , 4.1 , 3.9 , 3.9 ,
     60 - 64 Years , 31.8 , 33 , 32.4 , 31.9 , 30.2 , 27 , 27.8 , 28.1 , 28.2 , 25.6 , 25.8 , 26.5 , 26.1 , 25.6 , 24.4 , 21.8 , 23.1 , 24 , 22.1 , 22.9 , 20.8 , 20.3 , 19.2 , 19.1 , 18.5 , 18.7 , 16.9 , 17.5 , 16.1 , 16.7 , 15.8 , 15.8 , 15.4 , 14.2 , 14.2 , 13.8 , 13.6 , 12.9 , 12.8 , 12 , 11.2 , 10.2 , 10.3 , 10.1 , 9.4 , 9.3 , 9 , 8.5 , 8.1 , 7.4 , 7.3 , 7 , 7.3 , 7 , 6.4 , 6.5 , 6.2 , 6.3 , 6.3 ,
     65 - 69 Years , 45.7 , 41.1 , 42.5 , 40.8 , 42.4 , 43.6 , 43.3 , 42.4 , 44.8 , 40.3 , 39.5 , 41.5 , 40.2 , 40.4 , 36.3 , 37.8 , 36.3 , 36.9 , 35.9 , 34.6 , 33.4 , 32.2 , 30 , 30 , 29.4 , 28.5 , 27.3 , 25.2 , 26.3 , 26.1 , 24.2 , 24 , 24.3 , 23.2 , 23.6 , 22.9 , 22.1 , 21.4 , 21.4 , 19.8 , 19.6 , 18 , 17.6 , 17.5 , 16.4 , 16 , 14.1 , 14.1 , 13.9 , 12.8 , 12.5 , 12.6 , 11.9 , 11 , 10.6 , 10.4 , 10.1 , 9.9 , 9.5 ,
     70 - 74 Years , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , 48.3 , 48.2 , 47.4 , 47.9 , 41.3 , 46.4 , 40.6 , 40.6 , 40.5 , 42.7 , 38.4 , 38.2 , 36.7 , 36.7 , 38.1 , 38 , 35.6 , 33.2 , 32.8 , 30 , 29.1 , 29 , 28 , 28 , 26.3 , 24.8 , 23.6 , 25.9 , 24.1 , 21.7 , 20.7 , 19.9 , 20 , 19.6 , 18.5 , 18.2 , 16.7 , 16.9 , 16.5 ,
     75 Years & Over , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , 96.5 , 94.1 , 95.3 , 97.3 , 90.4 , 86.7 , 81.3 , 80.7 , 83.3 , 80.2 , 77.5 , 76.4 , 78.5 , 78.4 , 78.4 , 82.7 , 81.6 , 78.5 , 79.4 , 79.8 , 78.5 , 72.3 , 71.3 , 76.9 , 69.6 , 68 , 67.3 , 67 , 63.9 , 61.7 , 61.4 , 60.7 , 59.2 , 59.9 , 59.3 , 57.2 , 55.3 , 56.1 , 55.1 ,
     70 Years & Over , 91.8 , 92 , 93.1 , 95.5 , 95.2 , 101 , 99.6 , 103.9 , 102.6 , 95.5 , 85.3 , 83.1 , 81 , 81.5 , 82.8 , 78.4 , 80.7 , 79.5 , 77.7 , 79.4 , 71.6 , 70.3 , 70.6 , 72.1 , 65.8 , 67 , 62.1 , 62.4 , 64.3 , 63.8 , 60.7 , 60.1 , 60.9 , 60.9 , 61.4 , 64 , 62 , 58.9 , 58.7 , 57.3 , 56 , 52.9 , 52.3 , 55.3 , 51 , 49.5 , 48.9 , 50.2 , 47.7 , 45.4 , 44.8 , 43.7 , 42.8 , 43.4 , 43.2 , 42.8 , 41.5 , 41.1 , 39.6 ,
     75 - 79 Years , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , 74.1 , na , na , na , na , na , na , na , na , na , 56.2 , 55.3 , 56.9 , 58.9 , 56.9 , 59 , 57.8 , 55.1 , 53.2 , 52.9 , 50.8 , 45.4 , 44.8 , 51.4 , 43.4 , 40.9 , 42.5 , 41 , 39.1 , 37.4 , 34.9 , 37 , 33.3 , 33.8 , 32.6 , 31.8 , 30.1 , 28.9 , 28.3 ,
     80 - 84 Years , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , 109 , na , na , na , na , na , na , na , na , na , 86 , 84 , 82.9 , 77.5 , 82.9 , 82.8 , 84.5 , 82.7 , 83.7 , 79.4 , 81.3 , 74.2 , 74.3 , 74.9 , 72.3 , 70.7 , 66.8 , 67.7 , 63 , 58.3 , 60.4 , 57.4 , 55.7 , 55.7 , 56.3 , 51.6 , 53 , 53.7 , 51.4 ,
     85 Years & Over , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , 165 , na , na , na , na , na , na , na , na , na , 133.6 , 128.5 , 133.9 , 132.2 , 125.7 , 140 , 132.8 , 124.9 , 130.8 , 139.7 , 137.5 , 131.7 , 128.9 , 133.5 , 125.2 , 126.5 , 124.8 , 125.3 , 120.3 , 120.3 , 121.5 , 116.4 , 116.2 , 116.4 , 115.4 , 113.8 , 108.2 , 112.1 , 109.8 ,



Data prior to 1980 pertain to total population.  Data from 1980 onwards pertain to resident population (i.e. Singapore citizens and permanent residents).

TOTAL DEATHS BY ETHNIC GROUP - Figures for males and females may not add up to the total on account of unknown sex.
SOURCE: SINGAPORE DEPARTMENT OF STATISTICS




Generated by: SingStat Table Builder 
Date generated: 24/06/2019
Contact: info@singstat.gov.sg 
