Family Structure,Household Structure,Total,1 Person,2 Persons,3 Persons,4 Persons,5 Persons,6 Persons,7 Persons,8 Or More Persons
Total,Total,1145920,139876,215005,231351,263944,167993,78203,30857,18692
No Family Nucleus,Subtotal,195785,139876,39521,10328,3507,1405,751,235,162
No Family Nucleus,One Person,139876,139876,-,-,-,-,-,-,-
No Family Nucleus,Two Or More Persons,55908,-,39521,10328,3507,1405,751,235,162
One Family Nucleus,Subtotal,873703,-,175484,221023,249288,148434,57524,16323,5627
One Family Nucleus,One Generation,140393,-,124849,12161,2079,779,337,138,50
One Family Nucleus,Two Generations,659911,-,50635,204112,229895,123654,39254,9236,3125
One Family Nucleus,Three Or More Generations,73400,-,-,4750,17314,24001,17933,6949,2453
Two Family Nuclei,Subtotal,73219,-,-,-,11149,18154,19565,13643,10708
Two Family Nuclei,One Or Two Generations,18810,-,-,-,8006,6181,2659,1110,854
Two Family Nuclei,Three Or More Generations,54409,-,-,-,3143,11973,16906,12533,9855
Three Or More Family Nuclei,Subtotal,3213,-,-,-,-,-,363,656,2195
